,SNo,date,dayResult,dayConfidence,latitude,longitude,dateUnixTimestamp
97616,164,2022-07-20,1,0.7359351,46.62107828915079,-122.3465301087634,1658275200000
97617,165,2022-07-20,1,0.7359351,46.62107828915079,-122.33384061081958,1658275200000
97618,166,2022-07-20,1,0.7359351,46.62107828915079,-122.32115111287575,1658275200000
97619,167,2022-07-20,1,0.7359351,46.62107828915079,-122.30846161493194,1658275200000
97620,168,2022-07-20,1,0.7359351,46.62107828915079,-122.29577211698812,1658275200000
97621,169,2022-07-20,1,0.7359351,46.62107828915079,-122.28308261904432,1658275200000
97622,170,2022-07-20,1,0.7359351,46.62107828915079,-122.2703931211005,1658275200000
97623,171,2022-07-20,1,0.7359351,46.62107828915079,-122.25770362315669,1658275200000
97624,172,2022-07-20,1,0.7359351,46.62107828915079,-122.24501412521286,1658275200000
97625,173,2022-07-20,1,0.7359351,46.62107828915079,-122.23232462726904,1658275200000
97626,174,2022-07-20,1,0.7359351,46.62107828915079,-122.21963512932524,1658275200000
97627,175,2022-07-20,1,0.7359351,46.62107828915079,-122.2069456313814,1658275200000
97628,176,2022-07-20,1,0.7359351,46.62107828915079,-122.1942561334376,1658275200000
97629,177,2022-07-20,1,0.7359351,46.62107828915079,-122.18156663549377,1658275200000
97630,178,2022-07-20,1,0.7359351,46.62107828915079,-122.16887713754996,1658275200000
97631,179,2022-07-20,1,0.7359351,46.62107828915079,-122.15618763960612,1658275200000
97632,180,2022-07-20,1,0.7359351,46.62107828915079,-122.14349814166232,1658275200000
97633,181,2022-07-20,1,0.7359351,46.62107828915079,-122.1308086437185,1658275200000
97634,182,2022-07-20,1,0.7359351,46.62107828915079,-122.11811914577468,1658275200000
97635,183,2022-07-20,1,0.7359351,46.62107828915079,-122.10542964783086,1658275200000
98171,184,2022-07-20,1,0.7359351,46.60838879120697,-122.3592196067072,1658275200000
98172,185,2022-07-20,1,0.7359351,46.60838879120697,-122.3465301087634,1658275200000
98173,186,2022-07-20,1,0.7359351,46.60838879120697,-122.33384061081958,1658275200000
98174,187,2022-07-20,1,0.7359351,46.60838879120697,-122.32115111287575,1658275200000
98175,188,2022-07-20,1,0.7359351,46.60838879120697,-122.30846161493194,1658275200000
98176,189,2022-07-20,1,0.7359351,46.60838879120697,-122.29577211698812,1658275200000
98177,190,2022-07-20,1,0.7359351,46.60838879120697,-122.28308261904432,1658275200000
98178,191,2022-07-20,1,0.7359351,46.60838879120697,-122.2703931211005,1658275200000
98179,192,2022-07-20,1,0.7359351,46.60838879120697,-122.25770362315669,1658275200000
98180,193,2022-07-20,1,0.7359351,46.60838879120697,-122.24501412521286,1658275200000
98181,194,2022-07-20,1,0.7359351,46.60838879120697,-122.23232462726904,1658275200000
98182,195,2022-07-20,1,0.7359351,46.60838879120697,-122.21963512932524,1658275200000
98183,196,2022-07-20,1,0.7359351,46.60838879120697,-122.2069456313814,1658275200000
98184,197,2022-07-20,1,0.7359351,46.60838879120697,-122.1942561334376,1658275200000
98185,198,2022-07-20,1,0.7359351,46.60838879120697,-122.18156663549377,1658275200000
98186,199,2022-07-20,1,0.7359351,46.60838879120697,-122.16887713754996,1658275200000
98187,200,2022-07-20,1,0.7359351,46.60838879120697,-122.15618763960612,1658275200000
98188,201,2022-07-20,1,0.7359351,46.60838879120697,-122.14349814166232,1658275200000
98189,202,2022-07-20,1,0.7359351,46.60838879120697,-122.1308086437185,1658275200000
98190,203,2022-07-20,1,0.7359351,46.60838879120697,-122.11811914577468,1658275200000
98191,204,2022-07-20,1,0.7359351,46.60838879120697,-122.10542964783086,1658275200000
98726,205,2022-07-20,1,0.7359351,46.59569929326315,-122.3592196067072,1658275200000
98727,206,2022-07-20,1,0.7359351,46.59569929326315,-122.3465301087634,1658275200000
98728,207,2022-07-20,1,0.7359351,46.59569929326315,-122.33384061081958,1658275200000
98729,208,2022-07-20,1,0.7359351,46.59569929326315,-122.32115111287575,1658275200000
98730,209,2022-07-20,1,0.7359351,46.59569929326315,-122.30846161493194,1658275200000
98731,210,2022-07-20,1,0.7359351,46.59569929326315,-122.29577211698812,1658275200000
98732,211,2022-07-20,1,0.7359351,46.59569929326315,-122.28308261904432,1658275200000
98733,212,2022-07-20,1,0.7359351,46.59569929326315,-122.2703931211005,1658275200000
98734,213,2022-07-20,1,0.7359351,46.59569929326315,-122.25770362315669,1658275200000
98735,214,2022-07-20,1,0.7359351,46.59569929326315,-122.24501412521286,1658275200000
98736,215,2022-07-20,1,0.7359351,46.59569929326315,-122.23232462726904,1658275200000
98737,216,2022-07-20,1,0.7359351,46.59569929326315,-122.21963512932524,1658275200000
98738,217,2022-07-20,1,0.7359351,46.59569929326315,-122.2069456313814,1658275200000
